WKT,Id,Tempat,Latitude,Longitude
"POINT (106.8199726 -6.3107969)",03, Kebun Binatang Ragunan,-6.3107969,106.8199726
"POLYGON ((106.8163487 -6.3050363, 106.8162146 -6.305079, 106.8161878 -6.3052656, 106.8162575 -6.3058361, 106.8169013 -6.3068865, 106.816971 -6.3070305, 106.8166867 -6.3078249, 106.8164829 -6.3079849, 106.816102 -6.3079902, 106.815984 -6.3081289, 106.8158874 -6.3083795, 106.8158016 -6.3089393, 106.815823 -6.309062, 106.8157265 -6.3095152, 106.8157265 -6.3096751, 106.815823 -6.310027, 106.8160483 -6.310267, 106.8161073 -6.3105656, 106.8170837 -6.3105176, 106.8176362 -6.310235, 106.8177918 -6.3108855, 106.8176469 -6.3122451, 106.8177971 -6.3146871, 106.8177328 -6.3148044, 106.8172124 -6.3151243, 106.816456 -6.315119, 106.8164507 -6.3156735, 106.8163702 -6.3159721, 106.8165472 -6.3160307, 106.8166813 -6.3161587, 106.8176147 -6.3162547, 106.8179581 -6.316116, 106.8181726 -6.316212, 106.8183121 -6.316372, 106.8188593 -6.3165373, 106.818929 -6.3166866, 106.81909 -6.3167559, 106.819149 -6.3167932, 106.819149 -6.3169638, 106.8190953 -6.3172037, 106.8204525 -6.3173584, 106.8205491 -6.3174277, 106.8211338 -6.317481, 106.8236175 -6.317353, 106.8237463 -6.3174277, 106.8237302 -6.3177103, 106.8247601 -6.3177636, 106.8248782 -6.3169745, 106.8250284 -6.3164306, 106.8252698 -6.3146551, 106.8255755 -6.3126717, 106.8257526 -6.3113014, 106.8258759 -6.3112054, 106.8264231 -6.3113813, 106.826568 -6.3113387, 106.8268684 -6.3101337, 106.8270347 -6.3086994, 106.8245885 -6.3085128, 106.8245992 -6.3063907, 106.8230328 -6.306412, 106.8227485 -6.3065186, 106.8225125 -6.3066839, 106.821681 -6.3066359, 106.8205652 -6.3065186, 106.8205598 -6.3061987, 106.8205384 -6.3059214, 106.8203721 -6.3058041, 106.8192455 -6.3055589, 106.8189237 -6.3053722, 106.817824 -6.3052656, 106.8163487 -6.3050363))",,kEBUN BINATANG RAGUNAN,,
