WKT,Id,Tempat,Latitude,Longitude
"POINT (106.8028617 -6.2182986)",02, Gelora Bung Karno,-6.2182986,106.8028617
"POLYGON ((106.7982704 -6.2157748, 106.7983563 -6.2166068, 106.7983992 -6.2171827, 106.7984099 -6.21778, 106.7983348 -6.2199451, 106.7983777 -6.2205424, 106.7984636 -6.2206491, 106.8029268 -6.2224622, 106.8031521 -6.2225902, 106.8047828 -6.224702, 106.8059845 -6.2238061, 106.8087203 -6.2220143, 106.8082912 -6.221289, 106.8082912 -6.2157962, 106.8069608 -6.2157535, 106.8068857 -6.2156895, 106.8062205 -6.2156682, 106.8061239 -6.2154762, 106.8061347 -6.2145483, 106.806242 -6.2145163, 106.8062098 -6.2143669, 106.8062956 -6.2143349, 106.8062742 -6.213887, 106.8058128 -6.2138123, 106.8058557 -6.213247, 106.8061669 -6.2133004, 106.8061669 -6.2128204, 106.8025083 -6.2136097, 106.798249 -6.2146869, 106.7981846 -6.2148469, 106.7982704 -6.2157748))",,GELORA BUNG KARNO,,
