WKT,Id,Tempat,Latitude,Longitude
"POINT (106.8529355 -6.2373009)",05, Tebet Echo Park,-6.2373009,106.8529355
"POLYGON ((106.8509297 -6.2328573, 106.8506937 -6.2335612, 106.8507366 -6.2341158, 106.8509404 -6.2345317, 106.8518524 -6.235033, 106.8526356 -6.2356729, 106.8527214 -6.2361529, 106.8527536 -6.2363449, 106.8524317 -6.2372407, 106.8517451 -6.2398644, 106.8519597 -6.240227, 106.8527107 -6.2421041, 106.8539445 -6.2420295, 106.8534295 -6.2414322, 106.853054 -6.2408776, 106.8529896 -6.240611, 106.8529253 -6.2402804, 106.8529253 -6.2397044, 106.8529789 -6.2391818, 106.8534402 -6.2378487, 106.8536012 -6.2368141, 106.8532471 -6.2347237, 106.8528823 -6.234777, 106.8527429 -6.2338385, 106.8525605 -6.2334865, 106.8514876 -6.2335399, 106.8513052 -6.2334652, 106.8513052 -6.2330173, 106.8509297 -6.2328573))",,TEBET ECHO PARK,,
