WKT,Id,Tempat,Latitude,Longitude
"POINT (106.8872653 -6.2996447)",04, Taman Mini Indonesia Indah, -6.2996447,106.8872653
"POLYGON ((106.889394 -6.3014959, 106.8894101 -6.3026849, 106.8902997 -6.3027242, 106.8904285 -6.3026708, 106.8904714 -6.3026229, 106.8904768 -6.3024682, 106.8903426 -6.3023296, 106.890289 -6.3019084, 106.8903909 -6.3017164, 106.8904929 -6.3016578, 106.8904714 -6.3015405, 106.8904017 -6.3014711, 106.8903641 -6.3014658, 106.8901817 -6.3014978, 106.889394 -6.3014959))",,TAMAN MINI INDONESIA INDAH,,
