WKT,Id,Tempat,Latitude,Longitude
"POINT (106.8271524 -6.1752404)",01, Taman Monas,-6.1752404,106.8271524
"POLYGON ((106.8234597 -6.1715577, 106.8232349 -6.17179, 106.8232264 -6.1721657, 106.823213 -6.1722937, 106.8231728 -6.1735817, 106.8231165 -6.1755444, 106.8230467 -6.1785657, 106.8230172 -6.1795416, 106.8230306 -6.1796483, 106.8230414 -6.179811, 106.8231272 -6.1799363, 106.8233552 -6.180203, 106.8235269 -6.180291, 106.823728 -6.180347, 106.8238165 -6.1803656, 106.8238702 -6.1803896, 106.8251013 -6.1803736, 106.8272471 -6.1802936, 106.8283468 -6.1802456, 106.8294304 -6.1801896, 106.8307125 -6.180155, 106.8309807 -6.1801336, 106.8310451 -6.1800776, 106.8310665 -6.1799843, 106.8310746 -6.1798856, 106.8310612 -6.1796403, 106.8309593 -6.1794003, 106.8307499 -6.1792776, 106.8304924 -6.1789577, 106.8304495 -6.1789097, 106.8304388 -6.1788617, 106.8304388 -6.1787897, 106.8304468 -6.1787337, 106.8304924 -6.178675, 106.830471 -6.178643, 106.8306373 -6.178483, 106.8298916 -6.1777497, 106.8299291 -6.175827, 106.8299935 -6.175827, 106.8300043 -6.1752857, 106.8300498 -6.1752164, 106.8299908 -6.174659, 106.8300016 -6.174603, 106.8300364 -6.1745097, 106.8298085 -6.1734377, 106.8294678 -6.173323, 106.8294088 -6.1732884, 106.8292237 -6.173147, 106.8291057 -6.1729924, 106.8290735 -6.1729204, 106.8290655 -6.172859, 106.8291915 -6.1721897, 106.8292398 -6.171971, 106.8292452 -6.1718564, 106.8292023 -6.1717417, 106.8290199 -6.171571, 106.8288992 -6.1715417, 106.8237332 -6.1715044, 106.8235723 -6.1714964, 106.8234597 -6.1715577))",,TAMAN MONAS,,
